1.000000000000000000e+15 4.751005177067773268e+285 inf 9.502010354135545479e+285 9.502010354135545479e+285
1.176811952434998000e+15 4.751005177067773268e+285 inf 9.502010354135545479e+285 9.502010354135545479e+285
1.384886371393873250e+15 4.751005177067773268e+285 inf 9.502010354135545479e+285 9.502010354135545479e+285
1.629750834620643500e+15 4.751005177067773268e+285 inf 9.502010354135545479e+285 9.502010354135545479e+285
1.917910261672488750e+15 1.488497726982544409e+06 inf 1.489064592605500016e+06 3.910043530012086391e+09
2.257019719633919000e+15 1.074878020492514363e+06 inf 1.075281408125487156e+06 2.865225051448980331e+09
2.656087782946687000e+15 7.794935632310324581e+05 inf 7.797780613060387550e+05 2.136506475565585375e+09
3.125715849688235500e+15 5.745624976483879145e+05 inf 5.747666251263064332e+05 1.617809376106244326e+09
3.678379771828634500e+15 4.320610830631948193e+05 inf 4.322105395787834423e+05 1.249469473487104416e+09
4.328761281083057500e+15 3.322523373691525194e+05 inf 3.323645516724676127e+05 9.840893352228796482e+08
5.094138014816381000e+15 2.615216381248253456e+05 inf 2.616081622922560782e+05 7.907177518266438246e+08
5.994842503189409000e+15 2.116733650911590084e+05 inf 2.117425500775261025e+05 6.478321448252916336e+08
7.054802310718645000e+15 1.764882557619489671e+05 inf 1.765457838509644498e+05 5.416181553605569601e+08
8.302175681319744000e+15 1.515248292330295953e+05 inf 1.515747090364055184e+05 4.604535372703514695e+08
9.770099572992246000e+15 1.338667005617803952e+05 inf 1.339116726610223122e+05 3.986096732868239880e+08
1.149756995397735600e+16 1.215601062116029352e+05 inf 1.216023513846791029e+05 3.499096742545124292e+08
1.353047774579806800e+16 1.130320483356155310e+05 9.399456849072448730e+11 1.130731518860605574e+05 3.110465952452455163e+08
1.592282793341092200e+16 1.071738448967778677e+05 6.761624497064839172e+10 1.072151220348934294e+05 2.795290651918776035e+08
1.873817422860384000e+16 1.030794135259687755e+05 1.286583538898236275e+10 1.031222727618518547e+05 2.528911787605407834e+08
2.205130739903045600e+16 9.988542302452778677e+04 3.409895435290102005e+09 9.993167738456385268e+04 2.303805796282211840e+08
2.595024211399736000e+16 9.667458947000306216e+04 1.150141625680571556e+09 9.672715700900164666e+04 2.104331794778097272e+08
3.053855508833415600e+16 9.276638742151587212e+04 4.571915846111670732e+08 9.282992500516714063e+04 1.926425648212903440e+08
3.593813663804628000e+16 8.778056401674500376e+04 2.102930338851393461e+08 8.786093302006379236e+04 1.765109461020004749e+08
4.229242874389498400e+16 8.167328084440279054e+04 1.080298022010527551e+08 8.177641531465282605e+04 1.616810018419880867e+08
4.977023564332108800e+16 7.497176027730813075e+04 6.146716566721466184e+07 7.510139026424339681e+04 1.480595499514210522e+08
5.857020818056664000e+16 6.823439418055981514e+04 3.819940653088421375e+07 6.839106482700888591e+04 1.352415145777865946e+08
6.892612104349695200e+16 6.182809866806937498e+04 2.548606603177765757e+07 6.200971549192371458e+04 1.229461293472836316e+08
8.111308307896868800e+16 5.588203657688292878e+04 1.784157094245944172e+07 5.608601651338896772e+04 1.107041499285726398e+08
9.545484566618337600e+16 5.020803539242614352e+04 1.278126943782686815e+07 5.043198922818263236e+04 9.797476225837831199e+07
1.123324032978027680e+17 4.440159968416984339e+04 9.205009020265311003e+06 4.464047786171927146e+04 8.417016915531291068e+07
1.321941148466028800e+17 3.806905846608147112e+04 6.611913927828145213e+06 3.831054433234867611e+04 6.975768508649644256e+07
1.555676143930472320e+17 3.102604644223226933e+04 4.746094567389748991e+06 3.124795239432440576e+04 5.498325955123998225e+07
1.830738280295367680e+17 2.337007332657471125e+04 3.421453803742320277e+06 2.354402470467283638e+04 4.188982348669991642e+07
2.154434690031882240e+17 1.635724968902574437e+04 2.502480193041083869e+06 1.647357680613147022e+04 3.115540282011006027e+07
2.535364493970111360e+17 1.089283076005855219e+04 1.865290391219852027e+06 1.096203403179467568e+04 2.301732414784477279e+07
2.983647240283337600e+17 7.202518996390037501e+03 1.421109810889358865e+06 7.242262566537693601e+03 1.716957829915142804e+07
3.511191734215130880e+17 4.875387397474424688e+03 1.109727448137733852e+06 4.898747550276786569e+03 1.299142488940288872e+07
4.132012400115334400e+17 3.464639950433117974e+03 8.903426570834604790e+05 3.479381192694380388e+03 1.003118658386707865e+07
4.862601580065352960e+17 2.592588572326474605e+03 7.345166963264759397e+05 2.602634592959767815e+03 7.849420199468651786e+06
5.722367659350213760e+17 2.036096202619896530e+03 6.235918370461855084e+05 2.043448750468515072e+03 6.114460388730612583e+06
6.734150657750821120e+17 1.669242189892224133e+03 5.457324212537843268e+05 1.674976335727087189e+03 4.577029519263050519e+06
7.924828983539169280e+17 1.408877341966535369e+03 4.912577091020575026e+05 1.413571657226792240e+03 3.110167692299530841e+06
9.326033468832198400e+17 1.172100190982781214e+03 4.524044895733792218e+05 1.175857084902947008e+03 1.939913006222597789e+06
1.097498765493055744e+18 8.792773201632240898e+02 4.242779046048030723e+05 8.818094872984762560e+02 1.100266894742140779e+06
1.291549665014884096e+18 5.417228823424280790e+02 4.031014513338609831e+05 5.429255293513912193e+02 6.217865207231807290e+05
1.519911082952933120e+18 2.738139765433845696e+02 3.853230302872851607e+05 2.742182872960112832e+02 3.584876169488349115e+05
1.788649529057435136e+18 1.335869352518472795e+02 3.675223688752591261e+05 1.337186735116350462e+02 2.148701871152713138e+05
2.104904144512019456e+18 6.884647403623004891e+01 3.474537071010906366e+05 6.889488852098457983e+01 1.364420582339663815e+05
2.477076355991708672e+18 3.853872586251279841e+01 3.240949261832166812e+05 3.855975642379727475e+01 9.036256019868933072e+04
